Name,Latitude,Longitude,Email,Address,Type
"Radisson Collection Hotel, Berlin",52.5195799,13.4027302,N/A,"Karl-Liebknecht-Str. 3, 10178 Berlin, Germany",gym
Park Inn by Radisson Berlin Alexanderplatz,52.523125,13.4127656,N/A,"Alexanderpl. 7, 10178 Berlin, Germany",lodging
Generator Berlin Mitte,52.525198,13.3913822,N/A,"Oranienburger Str. 65, 10117 Berlin, Germany",cafe
Leonardo Royal Hotel Berlin Alexanderplatz,52.52739139999999,13.4233692,N/A,"Otto-Braun-Straße 90, 10249 Berlin, Germany",lodging
Grill Royal,52.5226847,13.3887989,N/A,"Friedrichstraße 105b, 10117 Berlin, Germany",bar
Zur letzten Instanz,52.5173692,13.4137999,N/A,"Waisenstraße 14-16, 10179 Berlin, Germany",bar
Cookies Cream,52.5157146,13.3877824,N/A,"Behrenstraße 55, 10117 Berlin, Germany",bar
Zur Gerichtslaube,52.5170542,13.4063319,N/A,"Poststraße 28, 10178 Berlin, Germany",bar
Brauhaus GEORGBRAEU,52.5165548,13.4055038,N/A,"Spreeufer 4, 10178 Berlin, Germany",restaurant
Restaurant Maximilians Berlin,52.5114055,13.3892688,N/A,"Friedrichstraße 185-190, 10117 Berlin, Germany",bar
The Sixties Diner,52.5237811,13.3993282,N/A,"Oranienburger Str. 11, 10178 Berlin, Germany",restaurant
Velvet52 Café & Bar,52.52592749999999,13.388256,N/A,"Oranienburger Str. 52, 10117 Berlin, Germany",cafe
"Das Lemke - Biergarten, Brauerei, Deutsche Küche",52.5232756,13.404724,N/A,"S-Bahnbogen 143, Dircksenstraße, 10178 Berlin, Germany",bar
Fleischerei,52.5297856,13.4105204,N/A,"Schönhauser Allee 8, 10119 Berlin, Germany",restaurant
Belushi's Berlin (Alexanderplatz),52.52690250000001,13.4106901,N/A,"Rosa-Luxemburg-Straße 41, 10178 Berlin, Germany",bar
Tausend,52.5207369,13.3844524,N/A,"Schiffbauerdamm 11, 10117 Berlin, Germany",bar
Kilkenny Irish Pub,52.522491,13.401438,N/A,"Am Zwirngraben 17-20, 10178 Berlin, Germany",bar
Berliner Republik,52.52129249999999,13.3855646,N/A,"Schiffbauerdamm 8, 10117 Berlin, Germany",bar
Mokka Mitte Bar,52.5222181,13.3984601,N/A,"James Simon Park, Stadtbahnbogen 159/160, 10178 Berlin, Germany",bar
Red Salon (Roter Salon),52.5271099,13.4115815,N/A,"Rosa-Luxemburg-Platz, 10178 Berlin, Germany",night_club
Schwarzwaldstuben,52.52766039999999,13.3930615,N/A,"Tucholskystraße 48, 10117 Berlin, Germany",bar
Hafenbar Berlin,52.52175940000001,13.4073919,N/A,"Karl-Liebknecht-Str. 11, 10178 Berlin, Germany",bar
GRAND BAR - Restaurant | Bar | Lounge in Berlin-Mitte,52.5250481,13.3931836,N/A,"Oranienburger Str. 33, 10117 Berlin, Germany",restaurant
Carambar,52.52038750000001,13.41214,N/A,"Rathausstraße 1, 10178 Berlin, Germany",restaurant
Kopps,52.5287904,13.3974753,N/A,"Linienstraße 94, 10115 Berlin, Germany",bar
Ristorante Piazza Rossa,52.5190156,13.4092823,N/A,"Rathausstraße 13, 10178 Berlin, Germany",bar
Andy's Diner & Bar,52.519854,13.4029554,N/A,"Karl-Liebknecht-Str. 5, 10178 Berlin, Germany",bar
Newton Bar,52.5129473,13.3911015,N/A,"Charlottenstraße 57, 10117 Berlin, Germany",bar
Oxymoron,52.5242225,13.4018132,N/A,"Rosenthaler Str. 40-41, 10178 Berlin, Germany",bar
House of Weekend,52.52293520000001,13.4163463,N/A,"Alexanderstraße 7, 10178 Berlin, Germany",night_club
Schokoladen,52.52977689999999,13.3971137,N/A,"Ackerstraße 169, 10115 Berlin, Germany",bar
Gugelhof,52.53545010000001,13.4166599,N/A,"Knaackstraße 37, 10435 Berlin, Germany",restaurant
Rutz,52.5282224,13.3862349,N/A,"Chausseestraße 8, 10115 Berlin, Germany",bar
Reingold,52.52865,13.3881556,N/A,"Novalisstraße 11, 10115 Berlin, Germany",bar
Aapka,52.5339958,13.4047851,N/A,"Kastanienallee 50, 10119 Berlin, Germany",bar
Restaurant Keyser Soze,52.5262471,13.3932925,N/A,"Tucholskystraße 33, 10117 Berlin, Germany",restaurant
Absinthdepot Berlin,52.5253564,13.4050257,N/A,"Weinmeisterstraße 4, 10178 Berlin, Germany",liquor_store
Z-Bar,52.5294848,13.3956931,N/A,"Bergstraße 2, 10115 Berlin, Germany",bar
Upside Down Bar & Restaurant,52.5124341,13.4098683,N/A,"Wallstraße 70, 10179 Berlin, Germany",restaurant
Strandbad Mitte,52.5273205,13.3966552,N/A,"Kleine Hamburger Str. 16, 10117 Berlin, Germany",restaurant
Boese Buben Bar Gaststätte,52.522313,13.383938,N/A,"Marienstraße 18, 10117 Berlin, Germany",cafe
COOP Anti-War cafe bar,52.5240306,13.4074139,N/A,"Rochstraße 3, 10178 Berlin, Germany",cafe
Mein Haus am See,52.5299428,13.4007965,N/A,"Brunnenstraße 197-198, 10119 Berlin, Germany",bar
Berliner Fernsehturm,52.520815,13.409419,N/A,"Panoramastraße 1A, 10178 Berlin, Germany",tourist_attraction
Strike Lanes Lounge Bowling,52.518512,13.416302,N/A,"3. OG Alexa, Grunerstraße 20, 10179 Berlin, Germany",bowling_alley
Neue Odessa Bar,52.5297031,13.4057467,N/A,"Torstraße 89, 10119 Berlin, Germany",bar
8MM,52.53121799999999,13.411524,N/A,"Schönhauser Allee 177b, 10119 Berlin, Germany",bar
Muret La Barba,52.52751920000001,13.4034784,N/A,"Rosenthaler Str. 61, 10119 Berlin, Germany",liquor_store
Sportsbar Tor 133,52.52973240000001,13.3997225,N/A,"Torstraße 133, 10119 Berlin, Germany",casino
Restaurant SIMON,52.52757299999999,13.3993386,N/A,"Auguststraße 53, 10119 Berlin, Germany",bar
Marinehaus - Restaurant und Kneipe,52.5141105,13.415968,N/A,"Märkisches Ufer 48-50, 10179 Berlin, Germany",bar
FC Magnet Bar,52.5329778,13.3999833,N/A,"Veteranenstraße 26, 10119 Berlin, Germany",bar
Pantry,52.526615,13.3868762,N/A,"Friedrichstraße 120, 10117 Berlin, Germany",restaurant
Cancún,52.51913859999999,13.4095071,N/A,"Rathausstraße 5-13, 10178 Berlin, Germany",night_club
Windhorst,52.51844319999999,13.3865204,N/A,"Dorotheenstraße 65, 10117 Berlin, Germany",bar
Cleopatra - Shisha Bar,52.5286666,13.3857504,N/A,"Chausseestraße 11, 10115 Berlin, Germany",bar
PANE E VINO,52.52329100000001,13.387356,N/A,"FRIEDRICHSTRAßE 134 Ecke, Ziegelstraße, 10117 Berlin, Germany",restaurant
Republic Berlin,52.5109542,13.417325,N/A,"Köpenicker Str. 74, 10179 Berlin, Germany",bar
Jacques’ Wein-Depot Berlin-Mitte,52.5277976,13.3862861,N/A,"Chausseestraße 128/129, 10115 Berlin, Germany",liquor_store
Treffpunkt Berlin,52.5179165,13.3882839,N/A,"Mittelstraße 55, 10117 Berlin, Germany",bar
"Radisson Collection Hotel, Berlin",52.5195799,13.4027302,N/A,"Karl-Liebknecht-Str. 3, 10178 Berlin, Germany",bar
Park Inn by Radisson Berlin Alexanderplatz,52.523125,13.4127656,N/A,"Alexanderpl. 7, 10178 Berlin, Germany",bar
Cosmo Hotel Berlin Mitte,52.5117038,13.4013856,N/A,"Spittelmarkt 13, 10117 Berlin, Germany",lodging
Park Plaza Wallstreet Berlin Mitte,52.51150670000001,13.4077502,N/A,"Wallstraße 23-24, 10179 Berlin, Germany",lodging
Leonardo Royal Hotel Berlin Alexanderplatz,52.52739139999999,13.4233692,N/A,"Otto-Braun-Straße 90, 10249 Berlin, Germany",bar
Grill Royal,52.5226847,13.3887989,N/A,"Friedrichstraße 105b, 10117 Berlin, Germany",bar
Zur letzten Instanz,52.5173692,13.4137999,N/A,"Waisenstraße 14-16, 10179 Berlin, Germany",bar
Cookies Cream,52.5157146,13.3877824,N/A,"Behrenstraße 55, 10117 Berlin, Germany",bar
Hofbräu Wirtshaus Berlin,52.52456240000001,13.4138463,N/A,"Karl-Liebknecht-Str. 30, 10178 Berlin, Germany",restaurant
Borchardt,52.5150087,13.3904324,N/A,"Franz. Str. 47, 10117 Berlin, Germany",restaurant
Augustiner am Gendarmenmarkt,52.5138177,13.3910381,N/A,"Charlottenstraße 55, 10117 Berlin, Germany",restaurant
Spreegold Mitte,52.5231605,13.4092636,N/A,"Rosa-Luxemburg-Straße 2, 10178 Berlin, Germany",restaurant
Zur Gerichtslaube,52.5170542,13.4063319,N/A,"Poststraße 28, 10178 Berlin, Germany",bar
Monsieur Vuong,52.5266538,13.4079523,N/A,"Alte Schönhauser Str. 46, 10119 Berlin, Germany",restaurant
Brauhaus GEORGBRAEU,52.5165548,13.4055038,N/A,"Spreeufer 4, 10178 Berlin, Germany",restaurant
Bocca di Bacco,52.5151203,13.3889483,N/A,"Friedrichstraße 167-168, 10117 Berlin, Germany",restaurant
Restaurant Maximilians Berlin,52.5114055,13.3892688,N/A,"Friedrichstraße 185-190, 10117 Berlin, Germany",bar
EINSTEIN Unter den Linden,52.51725,13.3860628,N/A,"Unter den Linden 42, 10117 Berlin, Germany",restaurant
The Sixties Diner,52.5237811,13.3993282,N/A,"Oranienburger Str. 11, 10178 Berlin, Germany",restaurant
Ishin Mittelstraße,52.51803589999999,13.3867836,N/A,"Mittelstraße 24, 10117 Berlin, Germany",restaurant
"Das Lemke - Biergarten, Brauerei, Deutsche Küche",52.5232756,13.404724,N/A,"S-Bahnbogen 143, Dircksenstraße, 10178 Berlin, Germany",bar
BLOCK HOUSE Am Alexanderplatz,52.52064610000001,13.4052203,N/A,"Karl-Liebknecht-Str. 7, 10178 Berlin, Germany",meal_takeaway
Restaurant Nolle,52.5199975,13.3890768,N/A,"Georgenstrasse, S, Bahnbogen 203, 10117 Berlin, Germany",restaurant
Ming Dynastie Jannowitzbrücke Berlin,52.51356489999999,13.4180546,N/A,"Brückenstraße 6, 10179 Berlin, Germany",meal_takeaway
Fleischerei,52.5297856,13.4105204,N/A,"Schönhauser Allee 8, 10119 Berlin, Germany",restaurant
Belushi's Berlin (Alexanderplatz),52.52690250000001,13.4106901,N/A,"Rosa-Luxemburg-Straße 41, 10178 Berlin, Germany",bar
Brechts Steakhaus,52.52150649999999,13.3859209,N/A,"Schiffbauerdamm 7, 10117 Berlin, Germany",restaurant
Mutter Hoppe,52.5177056,13.4062088,N/A,"Rathausstraße 21, 10178 Berlin, Germany",restaurant
Tausend,52.5207369,13.3844524,N/A,"Schiffbauerdamm 11, 10117 Berlin, Germany",bar
YOSOY TAPAS BERLIN,52.52443339999999,13.4027616,N/A,"Rosenthaler Str. 37, 10178 Berlin, Germany",restaurant
Restaurant Via Nova II,52.51981,13.3922245,N/A,"Universitätsstraße 2, 10117 Berlin, Germany",restaurant
Kilkenny Irish Pub,52.522491,13.401438,N/A,"Am Zwirngraben 17-20, 10178 Berlin, Germany",bar
Brasserie Am Gendarmenmarkt,52.5134791,13.3940216,N/A,"Taubenstraße 30, 10117 Berlin, Germany",restaurant
Aposto,52.5227072,13.3998395,N/A,"Monbijoupl. 12, 10178 Berlin, Germany",restaurant
Berliner Republik,52.52129249999999,13.3855646,N/A,"Schiffbauerdamm 8, 10117 Berlin, Germany",bar
Café Datscha Mitte,52.5305237,13.401652,N/A,"Weinbergsweg 25, 10119 Berlin, Germany",restaurant
Dolores Mitte,52.5238317,13.4091834,N/A,"Rosa-Luxemburg-Straße 7, 10178 Berlin, Germany",meal_takeaway
Entrecôte,52.5084694,13.3913556,N/A,"Schützenstraße 5, 10117 Berlin, Germany",restaurant
Ganymed Brasserie,52.5217314,13.386344,N/A,"Schiffbauerdamm 5, 10117 Berlin, Germany",restaurant
Mokka Mitte Bar,52.5222181,13.3984601,N/A,"James Simon Park, Stadtbahnbogen 159/160, 10178 Berlin, Germany",bar
Samadhi,52.51459989999999,13.3812899,N/A,"Wilhelmstraße 77, 10117 Berlin, Germany",restaurant
Good Morning Vietnam,52.52833400000001,13.4094026,N/A,"Alte Schönhauser Str. 60, 10119 Berlin, Germany",restaurant
Casalot Restaurant,52.52454219999999,13.3863424,N/A,"Claire-Waldoff-Straße 5, 10117 Berlin, Germany",restaurant
Izumi Restaurant-Sushi Bar & Lieferservice,52.5112976,13.3886859,N/A,"Kronenstraße 66, 10117 Berlin, Germany",meal_takeaway
WORLD OF PIZZA Berlin-Mitte,52.50859800000001,13.4052917,N/A,"Seydelstraße 18, 10117 Berlin, Germany",meal_takeaway
Good Time Restaurant,52.5126478,13.3970312,N/A,"Hausvogteipl. 11, 10117 Berlin, Germany",restaurant
Schwarzwaldstuben,52.52766039999999,13.3930615,N/A,"Tucholskystraße 48, 10117 Berlin, Germany",bar
Papa Pane di Sorrento,52.53212310000001,13.3963886,N/A,"Ackerstraße 23, 10115 Berlin, Germany",restaurant
Trattoria Peretti,52.52002869999999,13.4031155,N/A,"Karl-Liebknecht-Str. 5, 10178 Berlin, Germany",restaurant
Hafenbar Berlin,52.52175940000001,13.4073919,N/A,"Karl-Liebknecht-Str. 11, 10178 Berlin, Germany",bar
GRAND BAR - Restaurant | Bar | Lounge in Berlin-Mitte,52.5250481,13.3931836,N/A,"Oranienburger Str. 33, 10117 Berlin, Germany",restaurant
Carambar,52.52038750000001,13.41214,N/A,"Rathausstraße 1, 10178 Berlin, Germany",restaurant
I due forni,52.5308535,13.4125762,N/A,"Schönhauser Allee 12, 10119 Berlin, Germany",restaurant
Kopps,52.5287904,13.3974753,N/A,"Linienstraße 94, 10115 Berlin, Germany",bar
YamYam Berlin,52.5275836,13.4082387,N/A,"Alte Schönhauser Str. 6, 10119 Berlin, Germany",restaurant
Gaststätte Sophieneck,52.52639169999999,13.398612,N/A,"Große Hamburger Str. 37, 10115 Berlin, Germany",restaurant
Nante-Eck | Restaurant Berlin Mitte,52.5166722,13.388301,N/A,"Unter den Linden 35, 10117 Berlin, Germany",restaurant
The Brooklyn,52.5117542,13.4137262,N/A,"Köpenicker Str. 92, 10179 Berlin, Germany",restaurant
Ristorante Piazza Rossa,52.5190156,13.4092823,N/A,"Rathausstraße 13, 10178 Berlin, Germany",meal_takeaway
Dark Restaurant Berlin,52.5286434,13.415533,N/A,"Saarbrücker Str. 36-38, 10405 Berlin, Germany",restaurant
Park Inn by Radisson Berlin Alexanderplatz,52.523125,13.4127656,N/A,"Alexanderpl. 7, 10178 Berlin, Germany",lodging
"Radisson Collection Hotel, Berlin",52.5195799,13.4027302,N/A,"Karl-Liebknecht-Str. 3, 10178 Berlin, Germany",lodging
Generator Berlin Mitte,52.525198,13.3913822,N/A,"Oranienburger Str. 65, 10117 Berlin, Germany",cafe
Leonardo Royal Hotel Berlin Alexanderplatz,52.52739139999999,13.4233692,N/A,"Otto-Braun-Straße 90, 10249 Berlin, Germany",lodging
Grill Royal,52.5226847,13.3887989,N/A,"Friedrichstraße 105b, 10117 Berlin, Germany",bar
The Sixties Diner,52.5237811,13.3993282,N/A,"Oranienburger Str. 11, 10178 Berlin, Germany",restaurant
Velvet52 Café & Bar,52.52592749999999,13.388256,N/A,"Oranienburger Str. 52, 10117 Berlin, Germany",cafe
Gugelhof,52.53545010000001,13.4166599,N/A,"Knaackstraße 37, 10435 Berlin, Germany",restaurant
